label,summary,reason
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x4e2ce48f creating contracts with 2e-07 ETH as 0 USD. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: -1e-18;BEAM amount: 843455.08($33113) from other users losing -33113 USD. The summary of calls and events of important addresses: 0xcf072814 called: {'f3': 1, 'f4': 1} 0x62d0a845 called: {'balanceOf': 20, 'transferFrom': 5, 'transfer': 6}, emitting events: {'Transfer': 11, 'Approval': 5}; 0xd3f64baa called: {'1ef29a02': 5} 0xa051fc7d called: {'1ef29a02': 5}",The repeated calls leaded by the customized contract indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x864e656c to receiver 0x03e7b13b. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: 26.38($55991);WETH amount: 7.1e-15 from other public contracts losing -128143 USD. The summary of calls and events of important addresses: 0x03e7b13b called: {'2e9b36e7': 1, 'uniswapV3FlashCallback': 2, 'fallback': 1}; 0x864e656c called: {'fallback': 1}; 0x109830a1 called: {'token0': 1, 'flash': 1}, emitting events: {'Flash': 1}; 0x66ba59cb called: {'token0': 1, 'flash': 1, 'swap': 1}, emitting events: {'Flash': 1, 'Swap': 1}; 0x69c66bea called: {'getReserves': 5, 'swap': 5}, emitting events: {'Sync': 5, 'Swap': 5}; 0x8390a1da called: {'balanceOf': 25, 'transfer': 5, 'decimals': 2, 'approve': 3, 'transferFrom': 4, 'fallback': 1}, emitting events: {'Transfer': 9, 'Approval': 8}; 0xc02aaa39 called: {'balanceOf': 19, 'transfer': 6, 'withdraw': 2, 'approve': 2, 'transferFrom': 2}, emitting events: {'Transfer': 8, 'Withdrawal': 2, 'Approval': 2};","The uniswapV3FlashCallback of 0x03e7b13b as a customized contract is called and leads to multiple transfer and withdraw, indicating that this is an attack stealing money from public contracts."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x7a2f4d62 to receiver 0x4476b6ca. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as agETH amount: 1367.72;rswETH amount: 901.86($2160719);YT-agETH-26DEC2024 amount: 316.1;YT-rswETH-26SEP2024 amount: 290.97 from other public contracts losing -2160719 USD. Transaction has suspicious flash loan usage. The summary of calls and events of important addresses: 0x4476b6ca called: {'e1629e47': 1, 'receiveFlashLoan': 1, 'getRewardTokens': 3, 'claimRewards': 1}; 0x038c1b03 called: {'balanceOf': 6, 'readTokens': 3, 'readState': 1, 'mint': 1, 'approve': 4, 'transferFrom': 3, 'allowance': 1, 'transfer': 2, 'isExpired': 1, 'burn': 1, 'swapExactPtForSy': 1}, emitting events: {'Transfer': 7, 'UpdateImpliedRate': 3, 'Mint': 1, 'Approval': 7, 'Burn': 1, 'Swap': 1};","The receiveFlashLoan of 0x7a2f4d62 as a customized contract is called and high profit, indicating that this is suspicious."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xce6397e5 to receiver 0xe6c6e86e. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender collect high value tokens as ETH amount: 16.77($30116) from other users losing -40772 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0xe6c6e86e called: {'30f5d90e': 1, 'fallback': 1}; 0xce6397e5 called: {'fallback': 1}; 0xa07674a5 called: {'getReserves': 4, 'swap': 3}, emitting events: {'Sync': 3, 'Swap': 3}; 0xa9fbcc25 called: {'balanceOf': 11, 'allowance': 1, 'transferFrom': 4, 'fallback': 2, 'approve': 1}, emitting events: {'Approval': 6, 'Transfer': 6}; 0xc02aaa39 called: {'transfer': 3, 'balanceOf': 8, 'withdraw': 3}, emitting events: {'Transfer': 3, 'Withdrawal': 3};","The frequently repeated transfer and withdraw calling of same contract and high profit from contracts, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xdaaa6294 to receiver 0x1e791527. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as 0xf56b164efd3cfc02ba739b719b6526a6fa1ca32a amount: -3999855003.0;WETH amount: 25.96($88894);DAI amount: 18669.35($18669);CSC amount: 900000000.0;SKL amount: 1970.58($196);IXS amount: 560.81($222) from other public contracts losing -107981 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0x1e791527 called: {'cook': 1}; 0x579a3244 called: {'lock': 1, 'vote': 1, 'lift': 1, 'canCall': 2}, emitting events: {'Etch': 1};",The repeated calls and involving multiple tokens earned by senders indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x50df5a22 creating contracts. Sender has profit from other address. Its summary of balance change: sender collect high value tokens as WETH amount: 42.48($109082);USDT amount: 347005.65($347006);WBTC amount: 2.89($124421);DAI amount: 13821.01($13821);MATIC amount: 165356.99($139398) from other users losing -725247 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0xc3fdd40f called: {'f82448e8': 1} 0xc02aaa39 called: {'balanceOf': 18, 'allowance': 18, 'transferFrom': 36}, emitting events: {'Transfer': 36}; 0x3a23f943 called: {'00000196': 106}, emitting events: {'SocketSwapTokens': 104}; 0xcc5fda5e called: {'performAction': 106} 0x856da0ac called: {'fallback': 104} 0xdac17f95 called: {'balanceOf': 49, 'allowance': 49, 'transferFrom': 98}, emitting events: {'Transfer': 97}; 0x2260fac5 called: {'balanceOf': 16, 'allowance': 16, 'transferFrom': 32}, emitting events: {'Transfer': 32}; 0x6b175474 called: {'balanceOf': 9, 'allowance': 9, 'transferFrom': 18}, emitting events: {'Transfer': 18}; 0x7d1afa7b called: {'balanceOf': 14, 'allowance': 14, 'transferFrom': 28}, emitting events: {'Transfer': 27, 'Approval': 27};",The calls leaded by the customized contract and very frequently repeated calls indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x8b3cb6bf to receiver 0xb9556993. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as DAI amount: 149155.79($149156);USDC amount: 370000.98($370001);USDT amount: 345479.55($345480);ETH amount: -1.8e-17 from other users losing -864636 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0xb9556993 called: {'85b4a4fc': 1}; 0x8b3cb6bf called: {'fallback': 1}; 0xea72074d called: {'balanceOf': 27, 'allowance': 18, 'approve': 18}; 0x9e22ebec called: {'deposit': 9}, emitting events: {'Deposit': 9};",The imbalance created by only repeated deposits with large profit indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x7742ed59 to receiver 0xc74fc202. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as USDC amount: 1804301.34($1804301);ETH amount: -2e-18 from other users losing -1804301 USD. The summary of calls and events of important addresses: 0xc74fc202 called: {'85b4a4fc': 1}; 0x7742ed59 called: {'fallback': 1}; 0x89f024e6 called: {'balanceOf': 3, 'allowance': 2, 'approve': 2}; 0x9e22ebec called: {'deposit': 1}, emitting events: {'Deposit': 1};",The imbalance created by only deposit with large profit indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x55db954f creating contracts with 1e-12 ETH as 0 USD. Its summary of balance change: senders: ETH amount: 76.36($295276), other users: Scroll amount: 1e-18, public contracts: Scroll amount: 0.0;WETH amount: 0.0;ETH amount: -76.36($-295276). The summary of calls and events of important addresses: 0x55db954f called: {'fallback': 1}; 0x3fc91a3a called: {'execute': 3}; 0xa718aa1b called: {'getReserves': 1, 'swap': 1}, emitting events: {'Sync': 1, 'Swap': 1}; 0xc02aaa39 called: {'transfer': 1, 'balanceOf': 2, 'withdraw': 1}, emitting events: {'Transfer': 1, 'Withdrawal': 1};",Withdraw without approval and high profits from other contracts indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xce6397e5 to receiver 0xe6c6e86e. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: 32.52($58371);OGGY amount: 9.5e-07 from other users losing -75170 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0xe6c6e86e called: {'30f5d90e': 1, 'fallback': 1}; 0xce6397e5 called: {'fallback': 1}; 0x39a34c54 called: {'getReserves': 2, 'swap': 1}, emitting events: {'Sync': 1, 'Swap': 1}; 0x7e877b99 called: {'balanceOf': 35, 'allowance': 32, 'transferFrom': 24, 'approve': 1}, emitting events: {'Transfer': 48, 'Approval': 1}; 0xc02aaa39 called: {'balanceOf': 4, 'transfer': 1, 'withdraw': 1}, emitting events: {'Transfer': 1, 'Withdrawal': 1};",The repeated calls leaded by the customized contract indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x94641c01 to receiver 0xbc83f271. Sender earns tokens from other address. Its summary of balance change: sender collect large amount unknown tokens as PT-weETH-27JUN2024 amount: 247.44 from other users as PT-weETH-27JUN2024 amount: -247.44. The summary of calls and events of important addresses: 0xbc83f271 called: {'performOperations': 1} 0x45e15d1e called: {'performOperations': 1} 0xc69ad9ba called: {'transferFrom': 1}, emitting events: {'Approval': 1, 'Transfer': 1};",The single performOperations call making contract transfer other address's token indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x2f746bc7 to receiver 0x64d06f3f. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as USDC amount: 2776.66($2777) from other public contracts losing -2777 USD. The summary of calls and events of important addresses: 0x64d06f3f called: {'run': 1, 'execute': 1}; 0x044c0863 called: {'externalSwap': 2}, emitting events: {'WooRouterSwap': 2};",The imbalance created by only swaping with profit indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x48de6bf9 to receiver 0xb7f221e3. Sender has profit from public contracts. Its summary of balance change: sender collect high value tokens as ETH amount: 175.48($463012);VOW amount: 5801632.71($1904707);USDT amount: 595970.52($595971) from other public contracts losing -2963689 USD. The summary of calls and events of important addresses: 0xb7f221e3 called: {'batchLock_63efZf': 1, 'uniswapV2Call': 1, 'fallback': 1}; 0x48de6bf9 called: {'fallback': 1}; 0x1e497687 called: {'getReserves': 1, 'swap': 1}, emitting events: {'Sync': 1, 'Swap': 1}; 0x7fdeb46b called: {'swap': 2, 'getReserves': 1}, emitting events: {'Sync': 2, 'Swap': 2}; 0x97be09f2 called: {'getReserves': 1, 'swap': 1}, emitting events: {'Sync': 1, 'Swap': 1}; 0xc02aaa39 called: {'balanceOf': 4, 'transfer': 1, 'withdraw': 1}, emitting events: {'Transfer': 1, 'Withdrawal': 1};",The transfer and withdraw by the customized contract and high profits indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x8b3cb6bf to receiver 0x3c81476d. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as USDC amount: 1816474.65($1816475);USDT amount: 2869706.83($2869707);ETH amount: -2e-17 from other users losing -4686181 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0x3c81476d called: {'85b4a4fc': 1}; 0x8b3cb6bf called: {'fallback': 1}; 0x588e7e8e called: {'balanceOf': 30, 'allowance': 20, 'approve': 20}; 0x9e22ebec called: {'deposit': 10}, emitting events: {'Deposit': 10};",The imbalance created by only repeated deposits with large profit indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xc596523b to receiver 0x90a7482d. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: -1e-18;QNT amount: 1030.41($128020) from other users losing -128020 USD. The summary of calls and events of important addresses: 0x90a7482d called: {'8b651f79': 1} 0xd3f64baa called: {'1ef29a02': 1} 0xa051fc7d called: {'1ef29a02': 1} 0x4a220e60 called: {'balanceOf': 2, 'transferFrom': 1, 'transfer': 1}, emitting events: {'Transfer': 2};",The unknown functions by the customized contract and high profits from other addresses indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x0cfc28d1 to receiver 0x89926624. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender collect high value tokens as STC amount: 482589886.9($783474) from other public contracts losing -783474 USD. The summary of calls and events of important addresses: 0x89926624 called: {'withdrawTokens': 1}; 0x47ddb6a4 called: {'43fb2b61': 1, 'withdrawTokens': 1}, emitting events: {'TokenWithdrawn': 1};",Withdraw without approval and high profits from other contracts indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x9263e787 to receiver 0x1bf68a9d. Another EOA profits from public contracts. Its summary of balance change: other user collect high value tokens as ETH amount: 30.09($68970) from other public contracts losing -68970 USD. The summary of calls and events of important addresses: 0x1bf68a9d called: {'withdraw': 1}, emitting events: {'Withdraw': 1}; 0x1bf68a9d called: {'withdraw': 1}, emitting events: {'Withdraw': 1};",Withdraw without approval and high profits from other contracts indicates that this is suspicious
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x5ff8645b to receiver 0x16c00174. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender collect high value tokens as USDC amount: 1325.41($1325) from other users losing -1325 USD. The summary of calls and events of important addresses: 0x16c00174 called: {'85b4a4fc': 1}; 0x5ff8645b called: {'fallback': 1}; 0x89f024e6 called: {'balanceOf': 3, 'allowance': 2, 'approve': 2}; 0x9e22ebec called: {'deposit': 1}, emitting events: {'Deposit': 1};",The imbalance created by only deposit with profit indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x14e94001 creating contracts. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as WETH amount: 0.33($599) from other public contracts losing -599 USD. The summary of calls and events of important addresses: 0xfeb33902 called: {'fallback': 1, 'receiveFlashLoan': 1, '7924fd7d': 3}; 0x3ebaa750 called: {'execute': 3, 'deposit': 3, 'getRingHash': 1, 'withdraw': 1}, emitting events: {'Flashloan': 3, 'Deposited': 3, 'Withdrawn': 1}; 0x5a3e6a77 called: {'approve': 1, 'transfer': 8, 'balanceOf': 11, 'transferFrom': 3}, emitting events: {'Approval': 4, 'Transfer': 22}; 0x9ec9367b called: {'getReserves': 5, 'swap': 5}, emitting events: {'Sync': 5, 'Swap': 5};","The receiveFlashLoan of 0xfeb33902 as a customized contract is called and leads to multiple deposit and transfer, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x8b3cb6bf to receiver 0x69581464. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as USDC amount: 136746.45($136746);USDT amount: 45872.14($45872);ETH amount: -3.8e-17 from other users losing -182619 USD. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0x69581464 called: {'85b4a4fc': 1}; 0x8b3cb6bf called: {'fallback': 1}; 0xcd7757df called: {'balanceOf': 57, 'allowance': 38, 'approve': 38}; 0x9e22ebec called: {'deposit': 19}, emitting events: {'Deposit': 19};",The imbalance created by only repeated deposits with large profit indicates that this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xc596523b to receiver 0x2cbef94b. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as DAI amount: 508.65($509);wBARL amount: 4.7e-10 from other public contracts losing -509 USD. The summary of calls and events of important addresses: 0x2cbef94b called: {'run': 1, 'callback': 28}; 0x04c80bb4 called: {'flash': 28, 'bond': 28, 'balanceOf': 5, 'transferFrom': 2}, emitting events: {'Transfer': 58, 'Bond': 28, 'FlashLoan': 28, 'Approval': 3}; 0x4eb37415 called: {'observe': 1, 'swap': 1}, emitting events: {'Swap': 1}; 0xacfe34cb called: {'getReserves': 2, 'swap': 2}, emitting events: {'Sync': 2, 'Swap': 2}; 0xd719345f called: {'44ab194b': 1}, emitting events: {'DepositRewards': 1};","The callback of 0x2cbef94b as a customized contract is called and leads to repeated function calling, indicating that this is an attack."
